Transect,Pt,Especie,Altitude,lat,lon,15N,13C
Atacama,3,Junellia seri,3747,"-23,62620","-67,83494","14,13","-21,40"
Atacama,4,Chuquiraga atacamensis,3479,"-23,61002","-67,87349","14,35","-23,21"
Atacama,3,Junellia seri.,3747,"-23,62620","-67,83494","15,91","-22,91"
Atacama,10,Salanaceae sp.,"265,6879883","-23,50","-70,54","13,82","-25,43"
Atacama,3,Fabiana sp.,3747,"-23,62620","-67,83494","15,37","-22,11"
Atacama,4,Junellia sp.,3479,"-23,61002","-67,87349","12,71","-22,87"
Atacama,5,Ephedra andina,3192,"-23,57637","-67,89881","14,71","-21,49"
Atacama,4,Ephedra andina,3479,"-23,61002","-67,87349","15,62","-23,28"
Atacama,7,Cnytanthe sp.,2732,"-23,51726","-67,97286","8,53","-21,61"
Atacama,6,Cistanthe sp.,2940,"-23,56926","-67,92184","11,48","-17,12"
Atacama,6,Baccharis sp.,2940,"-23,56926","-67,92184","9,09","-19,86"
Atacama,2,Cenerio atacamensis,4010,"-23,93189","-67,63904","9,21","-20,19"
Atacama,7,Cistanthe sp.,2732,"-23,51726","-67,97286","10,85","-17,39"
Atacama,3,Bacchacis Boliviensis,3747,"-23,62620","-67,83494","11,69","-21,51"
Atacama,6,Fabiana ramulasa,2940,"-23,56926","-67,92184","14,85","-19,42"
Atacama,3,Baccharis tola,3747,"-23,62620","-67,83494","13,18","-21,55"
Atacama,4,Senecio sp.,3479,"-23,61002","-67,87349","15,83","-18,90"
Atacama,10,Ephedra sp.,"265,6879883","-23,50","-70,54","16,21","-21,19"
Atacama,3,Ephedra andina,3747,"-23,62620","-67,83494","14,00","-22,39"
Atacama,5,Ephedra andina,3192,"-23,57637","-67,89881","16,97","-21,63"
Atacama,6,Atriplex sp.,2940,"-23,56926","-67,92184","15,00","-12,84"
Atacama,5,Atriplex imbriceta,3192,"-23,57637","-67,89881","14,02","-14,12"
Atacama,8,Tiquilia sp.,2510,"-23,44","-68,00","15,06","-13,63"
Atacama,5,Fabiana ramulosa,3192,"-23,57637","-67,89881","15,02","-20,73"
Atacama,4,Haplopappus rigidus,3479,"-23,61002","-67,87349","12,72","-22,74"
Atacama,3,Haplopappus rigidus,3747,"-23,62620","-67,83494","12,18","-22,99"
Atacama,6,Atriplex sp.,2940,"-23,56926","-67,92184","9,11","-16,70"
Atacama,4,Junellia sp.,3479,"-23,61002","-67,87349","13,46","-18,82"
Atacama,15,Atriplex imbricata,"2348,849121","-22,87","-68,30","12,20","-15,70"
Atacama,15,Tiquilia atacamensis,"2348,849121","-22,87","-68,30","8,65","-23,56"
Atacama,6,Atriplex imbricata,2940,"-23,56926","-67,92184","12,60","-12,09"
Atacama,4,Alaysia deserticala,3479,"-23,61002","-67,87349","11,83","-24,69"
Atacama,6,Alaysia deserticala,2940,"-23,56926","-67,92184","16,96","-20,59"
Atacama,9,Nolana sp.,"50,35437012","-22,09","-70,16","3,76","-24,09"
Atacama,13,Atriplex imbricata,"1722,554932","-22,85","-69,26","8,06","-14,99"
Atacama,14,Atriplex imbricata,"1990,760742","-22,70","-69,19","12,07","-15,74"
Atacama,6,Haplopappus rigidus,2940,"-23,56926","-67,92184","15,14","-19,54"
Atacama,10,sp. 2,"265,6879883","-23,50","-70,54","13,06","-25,39"
Atacama,7,Tiquilia atacamensis,2732,"-23,51726","-67,97286","9,82","-21,65"
Atacama,9,Cristeria integenima,"50,35437012","-22,09","-70,16","5,17","-22,09"
Atacama,10,sp. 3,"265,6879883","-23,50","-70,54","15,20","-22,50"
Atacama,2,Stipa frigida,4010,"-23,93189","-67,63904","15,89","-19,93"
Atacama,3,Stipa frigida,3747,"-23,62620","-67,83494","8,69","-22,89"
Atacama,1,Stipa frigida,4272,"-23,87284","-67,54082","10,57","-21,01"
Atacama,4,Jarava sp.,3479,"-23,61002","-67,87349","12,52","-22,61"
Atacama,3,Jarava frigida,3747,"-23,62620","-67,83494","9,56","-20,06"
Atacama,5,Jarava sp.,3192,"-23,57637","-67,89881","10,02","-19,85"
Atacama,4,Jarava frigida,3479,"-23,61002","-67,87349","13,55","-20,08"
Atacama,2,Ademia spinosissima,4010,"-23,93189","-67,63904","13,04","-21,09"
Atacama,9,Perityle sp.,"50,35437012","-22,09","-70,16","3,98","-19,80"
Atacama,11,Ephedra sp.,"933,3186035","-23,38","-69,93","13,52","-21,71"
Maule,5,Rosa moschata,453,"-35,71","-71,08","10,37","-19,01"
Maule,8,Berberis,284,"-35,58","-71,39","8,60","-23,65"
Maule,5,Fabiana imbricata,453,"-35,71","-71,08","14,13","-23,55"
Maule,7,Astrocedues chilensis,990,"-35,82","-70,78","11,16","-20,93"
Maule,6,Poaceae sp.,738,"-35,80","-70,91","10,97","-26,05"
Maule,2,Poaceae sp.,1979,"-35,97","-70,57","3,62","-22,45"
Maule,7,Poaceae sp.,990,"-35,82","-70,78","8,90","-24,45"
Maule,8,Poaceae sp.,284,"-35,58","-71,39","13,03","-25,47"
Maule,5,Lithraea raustica,453,"-35,71","-71,08","11,76","-19,12"
Maule,6,Maytenus boaris,738,"-35,80","-70,91","14,29","-24,92"
Maule,7,Sophora mecceocerpa,990,"-35,82","-70,78","13,33","-24,10"
Maule,5,Quillaje soponaria,453,"-35,71","-71,08","8,64","-23,84"
Maule,4,Parestefia sp.,1247,"-35,88","-70,67","11,20","-20,21"
Maule,2,Berberis empetrifolia,1979,"-35,97","-70,57","8,34","-20,36"
Maule,2,Baccharis sp.,1979,"-35,97","-70,57","6,01","-23,62"
Atacama,TLT18,Atriplex imbricata,2870,"-23,28868","-67,94587","5,356236199","-16,6905854"
Atacama,TLT18,Atriplex imbricata,2870,"-23,28868","-67,94587","6,326021107","-14,80254821"
Atacama,TLT17,Atriplex imbricata,2970,-23,"-67,93427","3,342651468","-16,17765512"
Atacama,TLT17,Atriplex imbricata,2970,"-23,30211","-67,93427","3,794497071","-13,88478498"
Atacama,TLT16,Atriplex imbricata,3070,"-23,31005","-67,91876","3,996086353","-15,58249938"
Atacama,TLT16,Atriplex imbricata,3070,"-23,31005","-67,91876","7,135747583","-14,06029739"
Atacama,TLT15,Atriplex imbricata,3170,"-23,3101","-67,90332","5,194385404","-16,99697314"
Atacama,TLT15,Atriplex imbricata,3170,"-23,3101","-67,90332","7,700649696","-14,30640698"
Atacama,TLT14,Atriplex imbricata,3270,"-23,31291","-67,89014","8,403253333","-15,52572465"
Atacama,TLT14,Atriplex imbricata,3270,"-23,31291","-67,89014","7,536095617","-14,40151705"
Atacama,TLT13,Atriplex imbricata,3370,"-23,31377","-67,87685","8,836530926","-15,63437973"
Atacama,TLT13,Atriplex imbricata,3370,"-23,31377","-67,87685","7,871224047","-14,62311373"
Atacama,TLT12,Atriplex imbricata,3470,"-23,31766","-67,86342","3,692490453","-16,03767605"
Atacama,TLT12,Atriplex imbricata,3470,"-23,31766","-67,86342","8,241470725","-14,95158668"
Atacama,TLT12,Baccharis tola,3470,"-23,31766","-67,86342","3,623125826","-21,08279562"
Atacama,TLT12,Baccharis tola,3470,"-23,31766","-67,86342","3,738307873","-23,81349268"
Atacama,TLT10,Baccharis tola,3670,"-23,32268","-67,8318","5,402912858","-21,62105831"
Atacama,TLT10,Baccharis tola,3670,"-23,32268","-67,8318","4,279128902","-21,56712992"
Atacama,TLT10,Baccharis tola,3670,"-23,32268","-67,8318","7,538102374","-24,07823207"
Atacama,TLT07,Baccharis tola,3870,"-23,38819","-67,80757","4,427628925","-21,42299403"
Atacama,TLT07,Baccharis tola,3870,"-23,38819","-67,80757","5,4290007","-21,8073564"
Atacama,TLT08,Baccharis tola,3870,"-23,32856","-67,7989","1,777706222","-20,37188059"
Atacama,TLT08,Baccharis tola,3870,"-23,32856","-67,7989","7,912362567","-19,28056599"
Atacama,TLT06,Baccharis tola,3970,"-23,40508","-67,79452","2,699811093","-20,34148459"
Atacama,TLT06,Baccharis tola,3970,"-23,40508","-67,79452","5,029656044","-21,8612848"
Atacama,TLT05,Baccharis tola,4072,"-23,41518","-67,78575","0,301736401","-24,93716432"
Atacama,TLT09,Parastrephia quadrangularis,3770,"-23,32218","-67,8162","5,29758282","-26,40809517"
Atacama,TLT07,Parastrephia quadrangularis,3870,"-23,38819","-67,80757","2,857666342","-22,68001547"
Atacama,TLT08,Parastrephia quadrangularis,3870,"-23,32856","-67,7989","5,355170911","-24,18403496"
Atacama,TLT06,Parastrephia quadrangularis,3970,"-23,40508","-67,79452","5,608760574","-13,68737574"
Atacama,TLT05,Parastrephia quadrangularis,4072,"-23,41518","-67,78575","5,773442307","-25,0309681"
Atacama,TLT04,Parastrephia quadrangularis,4174,"-23,42283","-67,78008","2,385848124","-23,29873899"
Atacama,TLT03,Parastrephia quadrangularis,4270,"-23,4323","-67,77125","2,914244115","-23,99123717"
Atacama,TLT02,Parastrephia quadrangularis,4370,"-23,45127","-67,77322","4,779290003","-24,06796282"
Atacama,TLT02,Jarava frigida,4370,"-23,45127","-67,77322","-0,6",-25
Atacama,TLT02,Jarava frigida,4370,"-23,45127","-67,77322","3,9","-25,1"
Atacama,TLT03,Jarava frigida,4270,"-23,4323","-67,77125","3,5",-27
Atacama,TLT04,Jarava frigida,4174,"-23,42283","-67,78008","-0,3",-25
Atacama,TLT05,Jarava frigida,4072,"-23,41518","-67,78575",-1,-25
Atacama,TLT05,Jarava frigida,4072,"-23,41518","-67,78575","0,3","-22,8"
Atacama,TLT06,Jarava frigida,3970,"-23,40508","-67,79452","-1,2","-22,2"
Atacama,TLT06,Jarava frigida,3970,"-23,40508","-67,79452","5,5","-26,6"
Atacama,TLT07,Jarava frigida,3870,"-23,38819","-67,80757","2,8","-24,1"
Atacama,TLT07,Jarava frigida,3870,"-23,38819","-67,80757",-2,"-23,8"
Atacama,TLT07,Maihueniopsis camachoi,3870,"-23,38819","-67,80757","7,5","-16,3"
Atacama,TLT07,Maihueniopsis camachoi,3870,"-23,38819","-67,80757","6,4","-12,9"
Atacama,TLT08,Maihueniopsis camachoi,3870,"-23,32856","-67,7989","6,7","-13,1"
Atacama,TLT10,Maihueniopsis camachoi,3670,"-23,32268","-67,8318","5,6","-12,9"
Atacama,TLT10,Maihueniopsis camachoi,3670,"-23,32268","-67,8318","7,4","-12,5"
Atacama,TLT12,Maihueniopsis camachoi,3470,"-23,31766","-67,86342","6,7","-12,1"
Atacama,TLT13,Maihueniopsis camachoi,3370,"-23,31377","-67,87685","5,4","-11,8"
Atacama,TLT14,Maihueniopsis camachoi,3270,"-23,31291","-67,89014","6,9",-13
Atacama,TLT14,Maihueniopsis camachoi,3270,"-23,31291","-67,89014","6,4","-12,3"
Atacama,TLT15,Maihueniopsis camachoi,3170,"-23,3101","-67,90332","4,6","-11,7"
Atacama,TLT16,Maihueniopsis camachoi,3070,"-23,31005","-67,91876","5,4","-11,5"
Atacama,TLT17,Maihueniopsis camachoi,2970,"-23,30211","-67,93427","5,8","-11,7"
Atacama,TLT14,Tiquilia atacamensis,3270,"-23,31291","-67,89014","6,6","-25,8"
Atacama,TLT15,Tiquilia atacamensis,3170,"-23,3101","-67,90332",7,"-26,6"
Atacama,TLT15,Tiquilia atacamensis,3170,"-23,3101","-67,90332","6,1","-25,3"
Atacama,TLT18,Tiquilia atacamensis,2870,"-23,28868","-67,94587","6,3","-27,1"
Santiago,2010/41P3-001,Porlieria chilensis,638,"-31,46861","-71,10183","2,92","-26,02"
Santiago,2010/41P7-002,Porlieria chilensis,900,"-31,5614","-70,87532","3,81","-27,21"
Santiago,2010/41P8-003,Porlieria chilensis,686,"-30,98022","-71,0612","4,12","-26,7"
Santiago,2010/41P9-004,Porlieria chilensis,445,"-30,71162","-71,177","3,68","-27,85"
Santiago,2010/42P1-005,Porlieria chilensis,286,"-32,09234","-71,2506","4,67","-28,61"
Santiago,2010/42P3-006,Porlieria chilensis,638,"-31,46861","-71,10183","3,58","-26,93"
Santiago,2010/42P4-007,Porlieria chilensis,1023,"-31,26838","-71,06716","3,81","-26,91"
Santiago,2010/42P7-008,Porlieria chilensis,900,"-31,5614","-70,87532","4,07","-27,58"
Santiago,2010/42P9-009,Porlieria chilensis,445,"-30,71162","-71,177","6,52","-28,17"
Santiago,2010/41P1-010,Flourensia thurifera,286,"-32,09234","-71,2506","2,99","-28,87"
Santiago,2010/41P3-011,Flourensia thurifera,638,"-31,46861","-71,10183","0,2","-25,54"
Santiago,2010/41P4-012,Flourensia thurifera,1023,"-31,26838","-71,06716","-1,25","-28,02"
Santiago,2010/41P7-013,Flourensia thurifera,900,"-31,5614","-70,87532","1,71","-26,75"
Santiago,2010/41P8-014,Flourensia thurifera,686,"-30,98022","-71,0612","1,38","-28,27"
Santiago,2010/41P10-015,Flourensia thurifera,668,"-30,88676","-71,1931","-0,51","-25,91"
Santiago,2010/42P1-016,Flourensia thurifera,286,"-32,09234","-71,2506","5,47","-28,57"
Santiago,2010/42P3-017,Flourensia thurifera,638,"-31,46861","-71,10183","3,17","-28,37"
Santiago,2010/42P4-018,Flourensia thurifera,1023,"-31,26838","-71,06716","2,04","-26,52"
Santiago,2010/42P7-019,Flourensia thurifera,900,"-31,5614","-70,87532","3,89","-26,11"
Santiago,2010/42P8-020,Flourensia thurifera,686,"-30,98022","-71,0612","0,84","-27,37"
Santiago,2010/42P10-021,Flourensia thurifera,668,"-30,88676","-71,1931","2,87","-29,05"
Santiago,2010/42P1-023,Asteraceae,286,"-32,09234","-71,2506","6,39","-26,74"
Santiago,2010/42P2-024,Asteraceae,810,"-31,87777","-71,15838","3,84","-28,19"
Santiago,2010/42P3-025,Asteraceae,638,"-31,46861","-71,10183","5,37","-28,55"
Santiago,2010/42P4-026,Asteraceae,1023,"-31,26838","-71,06716","2,92","-25,92"
Santiago,2010/42P7-027,Asteraceae,900,"-31,5614","-70,87532","3,09","-25,62"
Santiago,2010/42P8-028,Asteraceae,686,"-30,98022","-71,0612","7,5","-27,43"
Santiago,2010/42P9-029,Asteraceae,445,"-30,71162","-71,177",4,"-29,8"
Santiago,2010/42P10-030,Asteraceae,668,"-30,88676","-71,1931","4,66","-29,23"
Santiago,2010/42P10-031,Asteraceae,668,"-30,88676","-71,1931","5,8","-29,87"
Atacama,Atx.LDT 1,Atriplex imbricata,3030,"-23,96888","-68,14908","6,71","-14,85"
Atacama,Atx.LDT 2,Atriplex imbricata,3100,"-23,84333","-68,03975","10,26","-14,33"
Atacama,Amb.LDT 3,Ambrosia artemisioides,3030,"-23,96888","-68,14908","5,11","-22,25"
Atacama,Ads. 4,Adesmia spinosissima,3870,"-23,32856","-67,7989","1,8","-26,9"
Santiago,Llag. 5,Llagunoa glandulosa,1197,"-31,3636","-71,1048","-1,94","-13,31"
Santiago,Llag. 6,Llagunoa glandulosa,638,"-31,46861","-71,10183","-0,74","-25,13"
Santiago,Oxa. 7,Oxalis sp.,1197,"-31,3636","-71,1048","3,26","-27,62"
Santiago,Trev. 8,Trevoa trinervis,810,"-31,87777","-71,15838","0,36","-26,78"
Santiago,Trev. 9,Trevoa trinervis,810,"-31,87777","-71,15838","-1,71","-27,75"
Santiago,Ads. 10,Adesmia arborea,810,"-31,87777","-71,15838","1,32","-28,47"
Santiago,Ads. 11,Adesmia arborea,638,"-31,46861","-71,10183","1,34","-26,64"